StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q8,Q9,Q10,Q11,Q12,Q19,Q21,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_5_TEXT,Q23,Q24,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6
2020-06-27 15:18:24,2020-06-27 15:32:29,IP Address,66.172.218.204,100,845,True,2020-06-27 15:32:29,R_3HwzATK3sv0zOOy,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Rent,Duplex,Less than $300,Excellent,No,No,Yes,,,,,Other,,No,,,,,,,,,Female,26 - 40,1,0,White or Caucassian,,"$19,999 or less"
2020-06-27 16:37:54,2020-06-27 16:40:47,IP Address,166.181.85.1,100,173,True,2020-06-27 16:40:47,R_3jTYwDVDLfVA3Ei,,,,,41.6006011962890625,-93.61119842529296875,anonymous,EN,Yes,10+ years,Rent,Single-family home,"$1,200 - $1,499",Fair,Yes,Yes,Yes,,,,,Do not qualify for home mortgage,,Yes,2,3,4,1,,,Could really use some rent to own properties because of bad credit.,,Male,41 - 55,1,2,White or Caucassian,,"$40,000 - $59,999"
2020-06-27 17:59:46,2020-06-27 18:04:21,IP Address,66.172.250.97,100,275,True,2020-06-27 18:04:22,R_DSQA2xpKahyLV29,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$300 - $499,Fair,Yes,Yes,No,Less than 30 minutes,,,,Not enough affordable housing,,No,,,,,,,,Make landlords accountable for the condition of their rental properties,Female,56 -70,1,0,White or Caucassian,,"$19,999 or less"
2020-06-27 19:12:14,2020-06-27 19:18:08,IP Address,66.172.217.47,100,354,True,2020-06-27 19:18:09,R_3GrMEL9SqAne2BJ,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$500 - $699,Good,No,No,Retired,,,,,Housing quality if poor,,No,,,,,,,,,,,,,,,
2020-06-27 20:12:44,2020-06-27 20:16:40,IP Address,66.172.230.214,100,236,True,2020-06-27 20:16:40,R_3F23mU0JPlUlx6K,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Fair,Yes,No,Yes,,,,,Not enough affordable housing,,Yes,4,3,1,2,,,,,Male,19 - 25,1,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-27 20:56:07,2020-06-27 21:02:54,IP Address,66.172.217.212,100,407,True,2020-06-27 21:02:55,R_ZaxY7sYSwJQ0By1,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,3,2,1,,,"We don’t come together for the city’s good, our elected officials have their own agenda, a perfect example of our elected officials not showing a good example is our mayor in pictures not following cdc guidelines but wants the citizens to.  ",We need to figure out a way to build affordable housing and then help the people to be able to buy yhem,Female,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-28 05:42:56,2020-06-28 05:48:19,IP Address,66.172.250.20,100,322,True,2020-06-28 05:48:20,R_2s54hn7Bri8gjhA,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,200 - $1,499",Good,No,No,Yes,,,,,Not enough of the right home styles,,No,2,3,4,1,,,,,Female,41 - 55,3,1,White or Caucassian,,"$80,000 - $99,999"
2020-06-28 08:42:26,2020-06-28 08:45:22,IP Address,40.132.82.221,100,176,True,2020-06-28 08:45:22,R_shX9oI4O5lDV9Fn,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,No,,,,,,,,No,Less than 30 minutes,I own a home elsewhere,,Better quality housing options,Other,The castle look of the town needs updated,No,,,1,,,,,,Female,41 - 55,2,0,White or Caucassian,,"$100,000 or more"
2020-06-28 10:02:12,2020-06-28 10:06:31,IP Address,66.172.218.183,100,258,True,2020-06-28 10:06:31,R_3PTgZJRGEs4TA9q,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28 14:06:30,2020-06-28 14:16:43,IP Address,207.199.194.199,100,612,True,2020-06-28 14:16:43,R_PHZ4HooZWHmkjUR,,,,,42.5072021484375,-95.28119659423828125,anonymous,EN,No,,,,,,,,Yes,,I own a home elsewhere,,Better quality housing options,Housing quality if poor,,No,,,2,,1,Cleaning up the neighborhoods. There seems to be a lot of homes in great need of fixing. And there are not very many lot options to build on.,"To many homes are owned by slum lords. Where were these incentives when these houses were for sale?  There a lot of issues when the front door of a house is open all winter and the city does nothing. Junk in the yards. All things that make the town undesirable ",,Female,41 - 55,2,0,White or Caucassian,,"$60,000 - $79,999"
2020-06-28 14:38:39,2020-06-28 14:44:00,IP Address,174.219.140.149,100,320,True,2020-06-28 14:44:00,R_ehXFx3kbbpBJRYd,,,,,44.9427032470703125,-93.28710174560546875,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Good,No,No,Yes,,,,,Not enough affordable housing,,No,1,,2,,,,"Why worry about registering rental properties with the city? Lets worry more about actually having places to live that are affordable. Ida grove is an expensive town to live in for being a small town. Lets get more people interested in living here. ",,Female,26 - 40,More than 5 adults,3,White or Caucassian,,"$60,000 - $79,999"
2020-06-28 18:41:47,2020-06-28 18:47:55,IP Address,66.172.250.67,100,368,True,2020-06-28 18:47:55,R_XpjYDw3ED8usOJ3,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Fair,Yes,Yes,Yes,,,,,Do not qualify for home mortgage,,Yes,5,1,3,4,2,"Better financing options for you g families ","The lack of financing options. As a self employed homeowner, financing a home is next to impossible due to banking  regulations. Simply not feasible for a family of 6 to come up with 30% down for a down payment ",Work with lenders to come up with affordable options for young families.,Male,26 - 40,2,4,White or Caucassian,,"$60,000 - $79,999"
2020-06-21 20:03:35,2020-06-21 20:07:54,IP Address,66.172.251.55,42,258,False,2020-06-28 20:08:07,R_2fwGIl2yC1KHPDl,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Excellent,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-29 12:20:14,2020-06-29 12:38:26,IP Address,100.42.93.54,100,1091,True,2020-06-29 12:38:26,R_114Hcahl3CL3mdU,,,,,42.8990936279296875,-95.13800048828125,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,500 - $1,999",Excellent,Yes,Yes,Yes,,,,,Housing quality if poor,,No,4,3,1,2,,,"low wages, unemployment, lack of things to do for entertainment, nothing draws people to this area","clean up the run down, abandoned houses and property.  almost every block has at least 1 house that is in shambles,  junk in the yards or on porches.  I for sure wouldn't want to live next to a house that is falling down as these types of properties only invite rodents and unwanted things that bring down the value of the property around it.   ",Female,56 -70,2,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-30 02:57:23,2020-06-30 03:01:28,IP Address,66.172.250.171,100,244,True,2020-06-30 03:01:28,R_31MDPqlowGCkytW,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$700 - $899,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,1,3,2,,,,,Female,26 - 40,2,2,White or Caucassian,,"$100,000 or more"
2020-06-30 06:59:00,2020-06-30 07:06:42,IP Address,66.172.250.221,100,461,True,2020-06-30 07:06:42,R_3EDLDJWItte6pt9,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,No,Yes,Yes,,,,,Do not qualify for home mortgage,,No,,,,,,"Right now,  in our existing low rental housing,  they are overrun by drug addicts and people who are involved in all sorts of theft and other crimes. These people are taking the housing units that are actually designed for people who need them. ","People don't want anymore large rental units, because the ones we have already are overrun by the very large drug ring that exists in Ida Grove. ","More police action to get rid of drug addicts who are taking up our affordable housing. ",Female,26 - 40,2,3,Don't wish to answer,,"$100,000 or more"
2020-07-01 00:34:19,2020-07-01 00:41:56,IP Address,174.250.66.231,100,457,True,2020-07-01 00:41:57,R_3PpppF3ZKynl662,,,,,44.9833984375,-93.26219940185546875,anonymous,EN,Yes,10+ years,Rent,Apartment,$300 - $499,Fair,No,No,No,Less than 30 minutes,,,,Not enough affordable housing,,No,2,3,4,5,1,Mote affordable housing,,,Female,41 - 55,3,0,I identify with 2 or more groups,,"$19,999 or less"
2020-06-25 18:38:18,2020-06-25 18:38:36,IP Address,66.172.250.133,8,17,False,2020-07-02 18:38:48,R_1NFwk69tdSyGebd,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25 18:43:39,2020-06-25 18:44:25,IP Address,174.219.130.123,42,45,False,2020-07-02 18:44:25,R_2PiY5TgrGYPG9oW,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,500 - $1,999",Excellent,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-27 07:51:02,2020-06-27 07:53:02,IP Address,174.219.10.132,42,120,False,2020-07-04 07:53:05,R_p5kbUBASvxW9kBP,,,,,,,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$700 - $899,Good,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-27 11:48:18,2020-06-27 11:48:40,IP Address,174.219.136.69,8,21,False,2020-07-04 11:48:44,R_TiwJjFpRu6P8YKJ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27 16:49:09,2020-06-27 16:49:26,IP Address,174.219.140.161,8,17,False,2020-07-04 16:49:48,R_Qc8DsXw7HzmBJYt,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28 05:40:49,2020-06-28 05:41:55,IP Address,166.182.87.39,42,65,False,2020-07-05 05:42:21,R_3CMVCwiIkVBZcUX,,,,,,,anonymous,EN,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-28 08:15:58,2020-06-28 08:16:14,IP Address,199.116.183.117,42,16,False,2020-07-05 08:16:23,R_12SzIMn8svsXafv,,,,,,,anonymous,EN,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-28 19:07:53,2020-06-28 19:08:15,IP Address,66.172.251.105,42,22,False,2020-07-05 19:08:46,R_AGKjHrpK7FizxCh,,,,,,,anonymous,EN,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-28 22:59:58,2020-06-28 23:01:21,IP Address,45.52.255.205,42,83,False,2020-07-05 23:01:22,R_2TH0lT6bPiFckp8,,,,,,,anonymous,EN,Yes,10+ years,Own,Other,Less than $300,Good,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-29 15:16:55,2020-06-29 15:17:14,IP Address,207.199.194.80,8,18,False,2020-07-06 15:17:20,R_3ElDeJrHjZwXsev,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30 10:51:34,2020-06-30 10:55:25,IP Address,73.242.69.93,42,231,False,2020-07-07 10:55:32,R_3q9fE76Ri1P9iEJ,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,,Yes,Retired,,,,,,,,,,,,,,,,,,,,,,
2020-06-30 16:01:53,2020-06-30 16:03:14,IP Address,174.219.5.181,42,81,False,2020-07-07 16:03:15,R_3dYZlXH3721KfVG,,,,,,,anonymous,EN,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-07-15 08:39:56,2020-07-15 08:42:27,IP Address,66.172.250.171,100,151,True,2020-07-15 08:42:28,R_2B4KbVLXYICgEbS,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$500 - $699,Good,Yes,Yes,Yes,,,,,Housing quality if poor,,No,4,2,1,3,,,,,Male,26 - 40,2,2,White or Caucassian,,"$100,000 or more"
2020-07-15 15:14:23,2020-07-15 15:16:29,IP Address,107.77.210.84,100,125,True,2020-07-15 15:16:30,R_1FOMF71EriEeArp,,,,,41.7790069580078125,-87.778900146484375,anonymous,EN,Yes,10+ years,Other,Single-family home,$300 - $499,Excellent,No,No,Yes,,,,,Not enough of the right home styles,,No,,,1,,,,,,Male,26 - 40,1,0,White or Caucassian,,"$60,000 - $79,999"
2020-07-15 16:40:58,2020-07-15 16:43:32,IP Address,66.172.217.102,100,154,True,2020-07-15 16:43:33,R_2X70Tm8rvYJeqeG,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Rent,Duplex,$700 - $899,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,2,3,4,1,5,,,,Female,56 -70,1,0,White or Caucassian,,"$20,000 - $39,999"
2020-07-15 20:57:33,2020-07-15 21:02:45,IP Address,45.52.255.156,100,311,True,2020-07-15 21:02:45,R_1fjhHUxEsjzuDoB,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,No,,,,,,,,No,Less than 30 minutes,I couldn't find rental housing in Ida Grove,,"More rental options,More affordable housing options",Not enough affordable housing,,No,1,,,2,,,,,Female,41 - 55,1,0,White or Caucassian,,"$20,000 - $39,999"
2020-07-15 21:14:55,2020-07-15 21:20:22,IP Address,174.219.12.28,100,326,True,2020-07-15 21:20:22,R_1gSLeqcZszh1sld,,,,,44.9152069091796875,-93.32219696044921875,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$700 - $899,Good,Yes,Yes,Yes,,,,,Housing quality if poor,,Yes,3,4,2,1,,,"People who own lots of land in nice parts of town are unwilling to sell to those wanting to build homes. ","Clean up vacant homes, create single story housing for the senior community, build affordable and livable starter homes for younger people",Female,19 - 25,2,1,White or Caucassian,,"$60,000 - $79,999"
2020-07-17 15:57:34,2020-07-17 16:00:34,IP Address,45.52.252.254,100,179,True,2020-07-17 16:00:34,R_3iFpXutVMQb8tKL,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,No,,,,,,,,Yes,,Difficult to find a home to purchase in Ida Grove that suits my family's needs,,"More affordable housing options,Better quality housing options",Not enough affordable housing,,No,2,3,4,1,,,,,Female,41 - 55,3,1,White or Caucassian,,"$80,000 - $99,999"
2020-07-17 19:22:13,2020-07-17 19:24:29,IP Address,208.126.209.88,100,135,True,2020-07-17 19:24:29,R_3PAc42IhxeT3bKY,,,,,42.3094940185546875,-95.25009918212890625,anonymous,EN,No,,,,,,,,Yes,,Difficult to find a home to purchase in Ida Grove that suits my family's needs,,More home ownership options,Not enough of the right home styles,,No,4,2,3,1,,,,,Female,26 - 40,2,2,White or Caucassian,,"$80,000 - $99,999"
2020-07-18 04:28:38,2020-07-18 04:34:22,IP Address,66.172.227.175,100,344,True,2020-07-18 04:34:23,R_2dF2sz4KtPsMwju,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Rent,Single-family home,$500 - $699,Good,Yes,Yes,Retired,,,,,Not enough affordable housing,,Yes,4,3,2,5,1,Senior housing,No coment,No coment,Male,71 +,1,0,White or Caucassian,,"$20,000 - $39,999"
2020-07-15 15:14:40,2020-07-15 15:14:47,IP Address,66.172.250.214,8,6,False,2020-07-22 15:14:56,R_3HB3YiGdcoTs43a,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15 16:14:45,2020-07-15 16:14:51,IP Address,64.5.71.126,8,5,False,2020-07-22 16:14:54,R_1N5pKfOt3QMpCEo,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15 18:51:53,2020-07-15 18:52:10,IP Address,40.132.82.159,42,16,False,2020-07-22 18:52:21,R_3k6cTRIgm3o9RAG,,,,,,,anonymous,EN,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
2020-07-15 18:54:12,2020-07-15 18:54:36,IP Address,66.172.217.68,8,24,False,2020-07-22 18:54:38,R_2PvwagrcanWH2NL,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-16 09:02:51,2020-07-16 09:03:14,IP Address,208.126.234.99,42,22,False,2020-07-23 09:03:36,R_12o7BkzR3y1HdHH,,,,,,,anonymous,EN,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
2020-07-18 16:02:56,2020-07-18 16:03:03,IP Address,98.161.22.123,8,7,False,2020-07-25 16:03:10,R_eWO8urY60g4giPf,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11 12:43:28,2020-08-11 12:45:04,IP Address,96.63.183.17,42,96,False,2020-08-18 12:45:22,R_1oo0kOIr8DMwg4J,,,,,,,anonymous,EN,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
